Passage_ID,Novel,Text,Allusion_Type,Biblical_Source,Allusion_Function,Confidence_Level,Analysis_Notes,Annotator,Timestamp,label
56,Beloved (1987),Paul,Character_Reference,Paul,Characterization,85,,Batemmy,2025-12-05T00:02:35.002Z,1
58,Song of Solomon (1977),Ruth,Character_Reference,Ruth,Characterization,90,,Batemmy,2025-12-05T00:03:46.774Z,1
59,Beloved (1987),Paul,Character_Reference,Paul,Characterization,85,,Batemmy,2025-12-05T00:03:57.737Z,1
60,Beloved (1987),Paul,Character_Reference,Paul,Characterization,85,,Batemmy,2025-12-05T00:04:10.016Z,1
61,Beloved (1987),Paul,Character_Reference,Paul,Characterization,85,,Batemmy,2025-12-05T00:04:26.803Z,1
62,Tar Baby (1981),Gideon,Character_Reference,Gideon,Characterization,70,,Batemmy,2025-12-05T00:04:39.163Z,1
63,Song of Solomon (1977),Mary,Character_Reference,Mary,Characterization,85,,Batemmy,2025-12-05T00:05:12.344Z,1
64,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,70,,Batemmy,2025-12-05T00:05:36.269Z,1
65,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,70,,Batemmy,2025-12-05T00:05:46.222Z,1
66,Beloved (1987),Paul,Character_Reference,Paul,Characterization,85,,Batemmy,2025-12-05T00:05:59.100Z,1
67,Paradise (1998),Calvary,Thematic_Reference,Calvary,Spiritual_Dimension,70,,Batemmy,2025-12-05T00:06:26.646Z,1
68,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,85,,Batemmy,2025-12-05T00:06:37.165Z,1
69,Song of Solomon (1977),Ruth,Character_Reference,Ruth,Characterization,90,,Batemmy,2025-12-05T00:07:16.318Z,1
70,Paradise (1998),Mary,Character_Reference,Mary,Characterization,85,,Batemmy,2025-12-05T00:07:33.898Z,1
71,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,70,,Batemmy,2025-12-05T00:07:45.703Z,1
72,Beloved (1987),Paul,Character_Reference,Paul,Characterization,85,,Batemmy,2025-12-05T00:08:00.058Z,1
73,Song of Solomon (1977),Hagar,Character_Reference,Hagar,Characterization,85,,Batemmy,2025-12-05T00:08:18.598Z,1
74,Song of Solomon (1977),Ruth,Character_Reference,Ruth,Characterization,90,,Batemmy,2025-12-05T00:08:34.272Z,1
75,Song of Solomon (1977),lot,No_Allusion,Lot,,70,,Batemmy,2025-12-05T00:09:06.945Z,0
76,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,85,,Batemmy,2025-12-05T00:09:20.468Z,1
77,Beloved (1987),Paul,Character_Reference,Paul,Characterization,85,,Batemmy,2025-12-05T00:09:32.874Z,1
78,Song of Solomon (1977),Hagar,Character_Reference,Hagar,Characterization,85,,Batemmy,2025-12-05T00:09:51.220Z,1
79,Song of Solomon (1977),Solomon,Character_Reference,Solomon,Characterization,85,,Batemmy,2025-12-05T00:10:38.322Z,1
80,Sula (1973),Jude,Character_Reference,Jude,Characterization,90,,Batemmy,2025-12-05T00:11:13.798Z,1
81,Song of Solomon (1977),Ruth,Character_Reference,Ruth,Characterization,90,,Batemmy,2025-12-05T00:11:26.738Z,1
82,Song of Solomon (1977),Hagar,Character_Reference,Hagar,Characterization,85,,Batemmy,2025-12-05T00:11:54.899Z,1
84,Tar Baby (1981),Gideon,Thematic_Reference,Gideon,Characterization,85,,Batemmy,2025-12-05T00:26:11.632Z,1
83,Sula (1973),hope,Thematic_Reference,Hope,Thematic_Development,80,,Batemmy,2025-12-05T00:25:54.104Z,1
85,Paradise (1998),Zechariah,Character_Reference,Zechariah,Characterization,90,,Batemmy,2025-12-05T00:27:47.232Z,1
86,Beloved (1987),Paul,Character_Reference,Paul,Characterization,85,,Batemmy,2025-12-05T00:28:06.979Z,1
87,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,70,,Batemmy,2025-12-05T00:28:19.618Z,1
88,Paradise (1998),Solomon,Character_Reference,Solomon,Characterization,85,,Batemmy,2025-12-05T00:28:32.549Z,1
89,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,70,,Batemmy,2025-12-05T00:28:43.768Z,1
90,A Mercy (2008),salvation,Thematic_Reference,Salvation,Thematic_Development,80,,Batemmy,2025-12-05T00:29:14.595Z,1
91,Sula (1973),mark,No_Allusion,Mark,,90,,Batemmy,2025-12-05T00:29:46.991Z,0
92,A Mercy (2008),redemption,Thematic_Reference,Redemption,Thematic_Development,80,,Batemmy,2025-12-05T00:30:02.110Z,1
93,Song of Solomon (1977),Ruth,Character_Reference,Ruth,Characterization,90,,Batemmy,2025-12-05T00:30:15.595Z,1
94,Tar Baby (1981),job,No_Allusion,Job,,90,,Batemmy,2025-12-05T00:30:30.068Z,0
95,Song of Solomon (1977),Jesus,Character_Reference,Jesus,Characterization,85,,Batemmy,2025-12-05T00:31:01.268Z,1
96,Paradise (1998),Calvary,Thematic_Reference,Calvary,Thematic_Development,70,,Batemmy,2025-12-05T00:31:32.333Z,1
97,Song of Solomon (1977),Mary,No_Allusion,Mary,,85,,Batemmy,2025-12-05T00:32:09.316Z,0
98,Song of Solomon (1977),Hagar,Character_Reference,Hagar,Characterization,100,,Batemmy,2025-12-05T00:32:32.954Z,1
99,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,70,,Batemmy,2025-12-05T00:32:45.180Z,1
100,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,70,,Batemmy,2025-12-05T00:32:57.497Z,1
101,Beloved (1987),Paul,Character_Reference,Paul,Characterization,85,,Batemmy,2025-12-05T00:33:12.353Z,1
102,Song of Solomon (1977),Solomon,Character_Reference,Solomon,Characterization,85,,Batemmy,2025-12-05T00:33:31.344Z,1
103,Beloved (1987),Paul,Character_Reference,Paul,Characterization,85,,Batemmy,2025-12-05T00:33:44.869Z,1
104,Song of Solomon (1977),lot,No_Allusion,Lot,,70,,Batemmy,2025-12-05T00:33:49.781Z,0
105,Song of Solomon (1977),Pilate,Character_Reference,Pilate,Characterization,70,,Batemmy,2025-12-05T00:34:03.790Z,1
160,Beloved (1987),Joshua,Character_Reference,Joshua,Characterization,90,,Batemmy,2025-12-05T00:48:09.271Z,1
161,Paradise (1998),mark,No_Allusion,Mark,,100,,Batemmy,2025-12-05T00:48:16.194Z,0
162,Tar Baby (1981),Mary,Character_Reference,Mary,Characterization,100,,Batemmy,2025-12-05T00:48:30.461Z,1
163,Sula (1973),John,Character_Reference,John,Characterization,90,,Batemmy,2025-12-05T00:48:40.591Z,1
