novel_title,allusion_text,start_pos,end_pos,allusion_type,confidence,biblical_source,context,assigned_annotator,data_type
Song of Solomon (1977),Pilate,316935,316941,character_reference,0.7,Pilate,"n a hollow voice before he melted away again. 171 Pilate darted around the cave calling him, looking for h",annotator_1,overlap
The Bluest Eye (1970),revelation,67185,67195,thematic_reference,0.9,Revelation,"are ugly. They are weeds."" Preoccupied with that revelation, she trips on the sidewalk crack. Anger stirs and",annotator_1,unique
Song of Solomon (1977),Solomon,499113,499120,character_reference,0.85,Solomon,"see. It was difficult but not impossible for Mr. Solomon to pull him away. He left cursing Milkman, but hi",annotator_1,unique
Song of Solomon (1977),Ruth,254583,254587,thematic_reference,0.9,Ruth,"e is my home in this world."" ""And I am his,"" said Ruth. ""And he wouldn't give a pile of swan shit for ei",annotator_1,unique
A Mercy (2008),Jacob,145106,145111,character_reference,0.85,Jacob,"Surrender?"" All at once she wanted it—the mirror Jacob had given her which she had silently rewrapped an",annotator_1,unique
A Mercy (2008),Jacob,32140,32145,character_reference,0.85,Jacob,me clear what D'Ortega had left to offer. Slaves. Jacob refused. His farm was modest; his trade needed on,annotator_1,overlap
Beloved (1987),Paul,356480,356484,character_reference,0.85,Paul,"."" ""What's any of what you talking got to do with Paul D?"" ""What run him off? Tell me that."" ""I run him",annotator_1,overlap
Song of Solomon (1977),Solomon,619851,619858,character_reference,0.85,Solomon,Pilate walked up the road to the path that led to Solomon's Leap. It was the higher of two outcrop- pings o,annotator_1,overlap
Jazz (1992),lot,336913,336916,character_reference,0.7,Lot,d was running around with her 'catch.' Somebody a lot of girls older than us wanted and had too. Dorcas,annotator_1,unique
Song of Solomon (1977),Pilate,590865,590871,character_reference,0.7,Pilate,They stopped at the same time in a high silence. Pilate reached out her hand and placed three fingers on,annotator_1,overlap
Song of Solomon (1977),Hagar,50896,50901,character_reference,0.85,Hagar,". All of them. Pilate, Reba, and Reba's daughter, Hagar. There was no one on the street that he could see",annotator_1,unique
Song of Solomon (1977),Hagar,573739,573744,character_reference,0.85,Hagar,". No wonder."" Pilate was thrilled at the sound of Hagar's voice. ""It's yours, baby,"" she said. ""Ain't it",annotator_1,overlap
A Mercy (2008),Jacob,47799,47804,character_reference,0.7,Jacob,"eaped the easy profit he described. Nevertheless, Jacob decided he would look into it. After a leisurely",annotator_1,unique
Song of Solomon (1977),Ruth,123424,123428,thematic_reference,0.9,Ruth,"ey were thirty-five and thirty-six now. But since Ruth was only sixteen years older than Lena, all three",annotator_1,overlap
A Mercy (2008),Judith,137357,137363,character_reference,0.85,Judith,"way or knelt by her bed. ""I'm already dead,"" said Judith. ""It's not so bad."" ""Don't tell her that. It's ho",annotator_1,overlap
Song of Solomon (1977),Ruth,229265,229269,thematic_reference,0.9,Ruth,"sh-gray grassy-looking stuff to put in his food."" Ruth laughed. ""I felt like a doctor, like a chemist do",annotator_1,unique
Song of Solomon (1977),Grace,541766,541771,thematic_reference,0.8,Grace,"John. You couldn't visit them if you wanted to."" Grace leaned over the plate of cookies and selected one",annotator_1,overlap
Song of Solomon (1977),Pilate,227622,227628,character_reference,0.7,Pilate,"onned and knew it. 125 ""Pilate. Old, crazy, sweet Pilate. Your father and I hadn't had physical relations",annotator_1,unique
Beloved (1987),Paul,254795,254799,character_reference,0.85,Paul,"the sunlight. She had been dreaming it for years. Paul D's chest rose and fell, rose and fell under her",annotator_1,overlap
Beloved (1987),Paul,85471,85475,character_reference,0.85,Paul,"hastise her. You leave her alone."" Risky, thought Paul D, very risky. For a used-to-be-slave woman to lo",annotator_1,unique
The Bluest Eye (1970),charity,28960,28967,thematic_reference,0.8,Charity,"what I'm supposed to be running here, a 17 4 get charity ward, I guess. Time for me to get out of the givi",annotator_1,overlap
Song of Solomon (1977),Ruth,31062,31066,thematic_reference,0.9,Ruth,on Dead who begat a second Macon Dead who married Ruth Foster (Dead) and begat Mag- dalene called Lena D,annotator_1,overlap
Beloved (1987),Paul,386835,386839,character_reference,0.85,Paul,"y I got to 124. I would have known right off, but Paul D distracted me. Otherwise I would have seen my f",annotator_1,overlap
Beloved (1987),Paul,429435,429439,character_reference,0.85,Paul,le Woman and she runs further on in the creekbed. Paul D and Sixo run the other way toward the woods. Bo,annotator_1,overlap
Beloved (1987),Paul,510810,510814,character_reference,0.85,Paul,", had been with the Mas- sachusetts 54th. He told Paul D they had been paid less than white soldiers. It",annotator_1,overlap
Tar Baby (1981),Gideon,546412,546418,character_reference,0.7,Gideon,"nother man's shoulder. ""Get me there,"" he said to Gideon. ""Now, while there is still light."" Gideon ran hi",annotator_1,unique
Song of Solomon (1977),Mary,351271,351275,character_reference,0.85,Mary,"heartbeat, of the city's literary world. Michael-Mary Graham was very consider- ate of Corinthians. Whe",annotator_1,overlap
Song of Solomon (1977),Pilate,250335,250341,character_reference,0.7,Pilate,"from the back of the house. Pilate, she thought. Pilate hummed and chewed things all the time. Ruth would",annotator_1,overlap
Song of Solomon (1977),Pilate,281273,281279,character_reference,0.7,Pilate,"est she could the fact that they embarrassed her. Pilate decided to find her brother, if he was still aliv",annotator_1,overlap
Beloved (1987),Paul,428089,428093,character_reference,0.85,Paul,ing. He disappeared and everybody was on his own. Paul A goes back to moving timber after dinner. They a,annotator_1,overlap
Paradise (1998),Calvary,238827,238834,character_reference,0.7,Calvary,"ast New Zion, Harper's Drugstore, the bank, Mount Calvary. She detoured into Cross Peter, left it and walke",annotator_1,overlap
Song of Solomon (1977),Pilate,65610,65616,character_reference,0.85,Pilate,"you standin by."" ""If you don't want us here, Miss Pilate, we'll go."" Guitar spoke softly. ""I ain't the one",annotator_1,unique
Song of Solomon (1977),Ruth,25413,25417,thematic_reference,0.9,Ruth,"im. So Macon Dead neither heard of nor visualized Ruth's sudden ter- ror, her awkward jump from the rock",annotator_1,overlap
Paradise (1998),Mary,471591,471595,character_reference,0.85,Mary,"ippers hollered at the edge of the garden, before Mary Magna's illness, still in a state of devotion and",annotator_1,overlap
Song of Solomon (1977),Pilate,584299,584305,character_reference,0.7,Pilate,", she made it into the bedroom and shut the door. Pilate and Reba made no move to follow her. Hagar stripp",annotator_1,overlap
Beloved (1987),Paul,390867,390871,character_reference,0.85,Paul,ng up the stairs. She was my secret company until Paul D came. He threw her out. Ever since I was little,annotator_1,unique
Song of Solomon (1977),Hagar,544975,544980,character_reference,0.85,Hagar,"te and Hagar thought of him, but having conquered Hagar and having disregarded Pilate enough to steal fro",annotator_1,overlap
Song of Solomon (1977),Ruth,33865,33869,thematic_reference,0.9,Ruth,"er, and even that daughter's daughter. Long after Ruth was up and about, as capable as she ever would be",annotator_1,unique
Song of Solomon (1977),lot,202294,202297,character_reference,0.7,Lot,"threw up his hands. ""Okay, laugh on. But they's a lot of strange things you don't know nothin about, bo",annotator_1,overlap
Song of Solomon (1977),Pilate,586327,586333,character_reference,0.85,Pilate,"ourse he likes it. How can he not like it?"" asked Pilate. ""He likes silky hair."" Hagar was murmuring so lo",annotator_1,overlap
Beloved (1987),Paul,250723,250727,character_reference,0.85,Paul,"sashes shuddered in a blast of winter air. I 3 I Paul D looked up from the stew meat. ""You come upstair",annotator_1,overlap
Song of Solomon (1977),Hagar,176159,176164,character_reference,0.85,Hagar,"ild. ""Seventeen."" ""You old enough to be married."" Hagar said it with the strong implication that he shoul",annotator_1,unique
Song of Solomon (1977),Solomon,566209,566216,character_reference,0.85,Solomon,"No. It's Solomon she is crying for, not a baby. ""Solomon don't leave me."" He must have been her lover. Mil",annotator_1,overlap
Sula (1973),Jude,125747,125751,thematic_reference,0.9,Jude,"rls and a comfortable one among men. His name was Jude Greene, and with the pick of some eight or ten gi",annotator_1,overlap
Song of Solomon (1977),Ruth,63210,63214,thematic_reference,0.9,Ruth,"said. ""He wet me, Mama."" She was close to tears. Ruth clucked her tongue. Corinthians laughed. ""I told",annotator_1,overlap
Song of Solomon (1977),Hagar,619511,619516,character_reference,0.85,Hagar,utweigh the things he was proud of hav- ing done. Hagar was dead and he had not loved her one bit. And Gu,annotator_1,overlap
Sula (1973),hope,87840,87844,thematic_reference,0.8,Hope,"ould do it enthusiastically but without the least hope in the world. ""While you sittin' there, honey, go",annotator_1,unique
Tar Baby (1981),Gideon,370931,370937,character_reference,0.85,Gideon,"hing Margaret, agreeing with Valerian and calling Gideon Yardman and never taking the trouble to know his",annotator_1,unique
Paradise (1998),Zechariah,590310,590319,thematic_reference,0.9,Zechariah,"rted on another story. It seemed his grandfather, Zechariah, was subject to personal taunts as well as newspa",annotator_1,unique
Beloved (1987),Paul,220724,220728,character_reference,0.85,Paul,"ad been occupied by one for eighteen years before Paul D came to call. And maybe it was better this way,",annotator_1,overlap
Song of Solomon (1977),Pilate,88062,88068,character_reference,0.7,Pilate,"uiet held. Even Guitar didn't dare break it. Then Pilate spoke. ""Reba. She don't mean food."" Realization s",annotator_1,overlap
Paradise (1998),Solomon,87934,87941,character_reference,0.85,Solomon,"hey were made by his family or best friends: King Solomon, Brother Otis, Dinah baby, Ike and Tina girl, Sis",annotator_1,overlap
Song of Solomon (1977),Pilate,453474,453480,character_reference,0.7,Pilate,nd Milkman decided not to tell her that Macon and Pilate just lived in the same city. He wondered how she,annotator_1,overlap
A Mercy (2008),salvation,153667,153676,thematic_reference,0.8,Salvation,he return will he and is it already too late? For salvation. I sleep then wake to any sound. Then I am dreami,annotator_1,overlap
Sula (1973),mark,239605,239609,thematic_reference,0.9,Mark,"that was how he knew she was a friend-she had the mark of the fish he loved), and one of her braids had",annotator_1,overlap
A Mercy (2008),redemption,120517,120527,thematic_reference,0.8,Redemption,n the ones whose beliefs stripped her children of redemption. She growled when they touched her; threw the bla,annotator_1,overlap
Song of Solomon (1977),Ruth,255246,255250,thematic_reference,0.9,Ruth,"gesture of frustration, but its awkwardness made Ruth know that there was something truly askew in this",annotator_1,overlap
Tar Baby (1981),job,339542,339545,thematic_reference,0.9,Job,fore she could fall asleep. The soap had done its job. The little feet he wanted so badly to see were c,annotator_1,overlap
Song of Solomon (1977),Jesus,46532,46537,character_reference,0.85,Jesus,"Mr. Smith. He couldn't carry it. It's too heavy. Jesus, you know. You know all about it. Ain't it heavy?",annotator_1,unique
Paradise (1998),Calvary,148364,148371,character_reference,0.7,Calvary,"belonged to all, and all were asked to show up at Calvary. To discuss it, Reverend Misner said. The weather",annotator_1,unique
Song of Solomon (1977),Mary,362305,362309,character_reference,0.85,Mary,"and now to caress her temples and say in Michael-Mary's read- ing voice, “I don't know,"" embarrassed he",annotator_1,overlap
Song of Solomon (1977),Hagar,584081,584086,character_reference,0.85,Hagar,"her, knocking Chantilly and Bandit to the floor. Hagar stiffened and pulled away from her mother. ""I hav",annotator_1,overlap
Song of Solomon (1977),Pilate,85855,85861,character_reference,0.7,Pilate,"got to mash them in our bare feet."" ""Feet? Feet?"" Pilate was outraged. ""Who makes wine with they feet?"" ""M",annotator_1,overlap
Song of Solomon (1977),Pilate,616325,616331,character_reference,0.7,Pilate,"nd he looked in her eyes and at her still mouth. ""Pilate, your father's body floated up out of the grave y",annotator_1,overlap
Beloved (1987),Paul,77045,77049,character_reference,0.85,Paul,"ere was no room for any other thing or body until Paul D arrived and broke up the place, making room, sh",annotator_1,overlap
Song of Solomon (1977),Solomon,530686,530693,character_reference,0.85,Solomon,"longed to the Byrd family over by the ridge. Near Solomon's Leap."" ""Oh, yeah?"" said one of the men. ""One of",annotator_1,overlap
Beloved (1987),Paul,101141,101145,character_reference,0.85,Paul,"neath the major question, each harbored another. Paul D wondered at the newness of her shoes. Sethe was",annotator_1,overlap
Song of Solomon (1977),lot,423053,423056,character_reference,0.7,Lot,"se, I believe."" ""Thanks,"" said Milkman. ""Thanks a lot."" ""Mighty welcome,"" said the man. ""Good evenin.""",annotator_1,overlap
Song of Solomon (1977),Pilate,335981,335987,character_reference,0.7,Pilate,""" ""What burglary? This ain't no burglary. This is Pilate."" ""So?"" ""So! They're your people."" ""They're still",annotator_1,overlap
Tar Baby (1981),Paul,465182,465186,character_reference,0.85,Paul,"e here Monday."" Soldier was alarmed. ""Who's Ernie Paul?"" ""He's one of us. Grew up with Son and Drake and",annotator_1,overlap
Sula (1973),Hope,145345,145349,thematic_reference,0.8,Hope,"ome yet, but it's good and cold."" ""That's fine."" “Hope I didn't speak too soon. Kids run in and out of h",annotator_1,unique
Beloved (1987),Paul,415944,415948,character_reference,0.85,Paul,"bent to make one with the Thirty-Mile Woman. When Paul D waved goodbye to his oldest brother, the boss w",annotator_1,unique
Beloved (1987),Paul,73908,73912,character_reference,0.85,Paul,"ak- ing more. Yet the morning she woke up next to Paul D, the word her daughter had used a few years ago",annotator_1,overlap
Beloved (1987),Paul,433425,433429,character_reference,0.85,Paul,"is jumping. They are going to look for Halle, not Paul A. They must have found Paul A and if a whiteman",annotator_1,overlap
Beloved (1987),Paul,434720,434724,character_reference,0.85,Paul,"e Woman ran, and he doesn't know what happened to Paul A or Halle. ""Where could he be?"" she asks. Paul D",annotator_1,unique
Song of Solomon (1977),Ruth,239601,239605,thematic_reference,0.9,Ruth,ody missed her for a while they could guess. Even Ruth knew now. A week earlier she had learned from Fre,annotator_1,unique
A Mercy (2008),Jacob,24910,24915,character_reference,0.85,Jacob,edious affair made intolerable by the awkwardness Jacob felt. His rough clothes were in stark contrast to,annotator_1,unique
Beloved (1987),Paul,127585,127589,character_reference,0.85,Paul,their talks easier there: at night when Sethe and Paul D were asleep; or in the daytime before either ca,annotator_1,overlap
Song of Solomon (1977),Hagar,578502,578507,character_reference,0.85,Hagar,"kirt fall down to her ankles before disappearing. Hagar easily drew on the skirt the woman brought back,",annotator_1,overlap
Beloved (1987),hope,13071,13075,thematic_reference,0.8,Hope,"ard the closed door. ""Oh it's truly meant. I just hope you'll pardon my house. Come on in. Talk to Denve",annotator_1,overlap
Song of Solomon (1977),Pilate,55394,55400,character_reference,0.85,Pilate,"ls, Hagar threaded and un- threaded her hair, and Pilate swayed like a willow over her stirring. Chapter 2",annotator_1,overlap
Song of Solomon (1977),Pilate,250945,250951,character_reference,0.7,Pilate,", her hands clasped between her knees. It was not Pilate. Ruth stood still and looked at the woman's back.",annotator_1,overlap
Song of Solomon (1977),Solomon,565602,565609,character_reference,0.85,Solomon,"leave a baby in a white man's house? No. If the ""Solomon don't leave me"" line was right, Solomon was the o",annotator_1,unique
Song of Solomon (1977),Hagar,333418,333423,character_reference,0.85,Hagar,her people- but not their all-consuming devotion. Hagar had given him this last and more drama than he co,annotator_1,overlap
Sula (1973),Jude,127405,127409,thematic_reference,0.9,Jude,ack men who could tear that road up. The men like Jude who could do real work. Jude himself longed more,annotator_1,overlap
Jazz (1992),lot,255386,255389,character_reference,0.7,Lot,"all and set out. During the journey he worried a lot about what he looked like, what armor he could ca",annotator_1,overlap
A Mercy (2008),Jacob,119804,119809,character_reference,0.85,Jacob,"the immediate torment subsided, her thoughts left Jacob and traveled to Patrician's matted hair, the hard",annotator_1,overlap
Song of Solomon (1977),lot,57725,57728,character_reference,0.7,Lot,"liding by with a tiny bit of jealousy and a whole lot of amusement, for Macon's wide green Packard beli",annotator_1,overlap
Song of Solomon (1977),Ruth,249364,249368,thematic_reference,0.9,Ruth,ceiling not far from a sack that hung there too. Ruth looked into the bedroom and saw three little beds,annotator_1,unique
Beloved (1987),Samson,285583,285589,character_reference,0.7,Samson,"it beyond the point of education. Or Chipper, or Samson. Suppose you beat the hounds past that point that",annotator_1,overlap
Beloved (1987),job,316047,316050,thematic_reference,0.9,Job,"99 ""It ain't my job to know what's worse. It's my job to know what is and to keep them away from what I",annotator_1,overlap
Beloved (1987),Paul,434768,434772,character_reference,0.85,Paul,"o Paul A or Halle. ""Where could he be?"" she asks. Paul D shrugs because he can't shake his head. ""You sa",annotator_1,overlap
A Mercy (2008),Jacob,120123,120128,character_reference,0.85,Jacob,"r thaw. But when finally the earth softened, when Jacob could get traction with the spade and they let th",annotator_1,unique
Song of Solomon (1977),Pilate,89688,89694,character_reference,0.7,Pilate,"old me to stay away from there. To stay away from Pilate."" ""Right."" ""But you never told me why. They're ou",annotator_1,overlap
Song of Solomon (1977),Hagar,140647,140652,character_reference,0.85,Hagar,"all. Reba turning on for everything in pants. And Hagar... well, she was just fine, but still, she wasn't",annotator_1,unique
Tar Baby (1981),Gideon,185718,185724,character_reference,0.85,Gideon,visit. She insisted she knew about the man before Gideon-although it was he who actually saw him first. Sh,annotator_1,overlap
Beloved (1987),Paul,94087,94091,character_reference,0.85,Paul,"African Savage shook his bars 49 and said wa wa, Paul D told everybody he knew him back in Roanoke. Pau",annotator_1,unique
Sula (1973),Jude,253022,253026,thematic_reference,0.9,Jude,"l that had been about. It didn't take long, after Jude left, for her to see what the future would be. Sh",annotator_1,overlap
Paradise (1998),mark,277096,277100,thematic_reference,0.9,Mark,"mark, this, that lay underneath every other. This mark, rendered in the placement of facial features. Th",annotator_1,overlap
Tar Baby (1981),job,439695,439698,thematic_reference,0.9,Job,"he blew out a breath and she was old. ""Is that my job too? To stop you?"" ""No. It's not your job, Ondine",annotator_1,overlap
Paradise (1998),Deuteronomy,192643,192654,thematic_reference,0.9,Deuteronomy,"ame a shrine (cautioned against not only in scary Deuteronomy but in lovely Corinthians II as well) and, like a",annotator_1,overlap
Jazz (1992),Solomon,140,147,character_reference,0.85,Solomon,ORRISON The Bluest Eye (1970) Sula (1974) Song of Solomon (1977) Tar Baby (1981) Beloved (1987) Playing in,annotator_1,overlap
Paradise (1998),Jesus,306472,306477,character_reference,0.85,Jesus,"before this stern preacher's wife, thinking: Dear Jesus, I wouldn't last an hour in this town if I marrie",annotator_1,unique
Beloved (1987),lot,306788,306791,character_reference,0.7,Lot,"er would have thought of that. Never. Taught me a lot, Sixo."" It made him dizzy. At first he thought it",annotator_1,overlap
Song of Solomon (1977),Grace,601907,601912,thematic_reference,0.8,Grace,"325 ""Well, you can say goodbye to it, Mr. Macon. Grace will go to dinner all over the county telling peo",annotator_1,overlap
Beloved (1987),lot,118112,118115,character_reference,0.7,Lot,"randmother she knew. ""I never found out. It was a lot of them,"" she said, but what was getting clear an",annotator_1,overlap
Beloved (1987),Paul,328107,328111,character_reference,0.85,Paul,; tentative greetings from other coloredpeople in Paul D's com- pany; a bed life for herself. Except for,annotator_1,unique
Song of Solomon (1977),Hagar,238162,238167,character_reference,0.7,Hagar,"r dead. One or the other. Me or her. Choose. Die, Hagar. Die. Die. Die. But she didn't. She crawled into",annotator_1,overlap
Song of Solomon (1977),Ruth,24338,24342,thematic_reference,0.9,Ruth,"carried his discovery not only into the homes in Ruth's neighborhood, but to Southside, where he lived",annotator_1,overlap
Song of Solomon (1977),Pilate,557358,557364,character_reference,0.7,Pilate,"don't leave me here."" Milkman smiled, remembering Pilate. Hundreds of miles away, he was homesick for her,",annotator_1,overlap
Tar Baby (1981),Gideon,420210,420216,character_reference,0.85,Gideon,and Empire State and figured out a way to collect Gideon's unem- ployment checks. But Jadine was not worri,annotator_1,overlap
Beloved (1987),Paul,99012,99016,character_reference,0.85,Paul,"he name. ""Beloved. You use a last name, Beloved?"" Paul D asked her. ""Last?"" She seemed puzzled. Then ""No",annotator_1,overlap
Beloved (1987),mark,116571,116575,thematic_reference,0.9,Mark,"can't tell me by my face, you can know me by this mark.' Scared me so. All I could think of was how impo",annotator_1,unique
Song of Solomon (1977),Hagar,166738,166743,character_reference,0.85,Hagar,angry. All this indecision about what to get for Hagar was new. At Christmases past he Coll simply chose,annotator_1,overlap
Song of Solomon (1977),Pilate,557213,557219,character_reference,0.7,Pilate,"eard off and on all his life. That old blues song Pilate sang all the time: ""O Sugarman don't leave me her",annotator_1,overlap
Song of Solomon (1977),charity,3831,3838,thematic_reference,0.8,Charity,"Not Doctor Street, and were inclined to call the charity hospital at its northern end No Mercy Hospital si",annotator_1,overlap
Tar Baby (1981),Gideon,363733,363739,character_reference,0.7,Gideon,"d been silent until then. ""Who?"" asked Valerian. ""Gideon. Yardman."" ""His name is Gideon?"" asked Jadine. ""W",annotator_1,overlap
Song of Solomon (1977),Pilate,545004,545010,character_reference,0.7,Pilate,"but having conquered Hagar and having disregarded Pilate enough to steal from her, all that was gone. But",annotator_1,overlap
Paradise (1998),John,586322,586326,thematic_reference,0.9,John,"n white shirt. No shoes. No socks. He entered St. John Street, where he had planted trees fifty feet apa",annotator_1,overlap
A Mercy (2008),Jacob,22808,22813,character_reference,0.85,Jacob,"e followed by D'Ortega's call. ""Well timed! Come, Jacob. Come."" He motioned toward a parlor. ""Good day, s",annotator_1,overlap
Beloved (1987),Paul,206384,206388,character_reference,0.85,Paul,"e, of taking a bit of foreskin with him to Jesus. Paul D did not know that then. He was looking at his p",annotator_1,unique
Song of Solomon (1977),Mary,354052,354056,character_reference,0.85,Mary,"marketplace and courted it. Of this group Michael-Mary Graham was the queen, for her poetry had been pub",annotator_1,overlap
Song of Solomon (1977),Babylon,404223,404230,character_reference,0.7,Babylon,"through Babylon, then humiliate us like whores in Babylon. Now he has knocked the ice out of Corinthians' h",annotator_1,overlap
Beloved (1987),Joshua,441653,441659,thematic_reference,0.9,Joshua,"not was tight and so was the bow. ""They called me Joshua,"" he said. ""I renamed myself,"" he said, “and I'm",annotator_1,overlap
Paradise (1998),mark,621052,621056,thematic_reference,0.9,Mark,"me contrasts between thick and thin elements that mark most modern faces, and it attempts to give a feel",annotator_1,overlap
Tar Baby (1981),Mary,206681,206685,character_reference,0.85,Mary,"she had them again, safely back in her fingers. ""Mary. It must have been Mary.” Jadine laughed. “That w",annotator_1,unique
Sula (1973),John,145732,145736,thematic_reference,0.9,John,"ust be glad he found it, wherever it is. Remember John L.?"" ""When Shirley said he got her down by the we",annotator_1,overlap
