novel_title,allusion_text,start_pos,end_pos,allusion_type,confidence,biblical_source,context,assigned_annotator,data_type
Song of Solomon (1977),Pilate,576870,576876,character_reference,0.7,Pilate,"lars at first and then, accompanied by a storming Pilate, she went back and got one hundred and seventy mo",annotator_3,unique
Beloved (1987),Paul,26838,26842,character_reference,0.85,Paul,"id for the ticket, but let me tell you something, Paul D Garner: it cost too much! Do you hear me? It co",annotator_3,unique
Song of Solomon (1977),Hagar,408259,408264,character_reference,0.85,Hagar,"d-up surveillance, his father's bottomless greed, Hagar's hollow eyes-he did not know whether he deserved",annotator_3,unique
Beloved (1987),Paul,203480,203484,character_reference,0.85,Paul,"what prompted him to try-other than Halle, Sixo, Paul A, Paul F and Mister. But the trembling was fixed",annotator_3,unique
Jazz (1992),job,68014,68017,thematic_reference,0.9,Job,"her-money of so little help she was giving up her job, picking up the children and return- ing to Barba",annotator_3,unique
Song of Solomon (1977),lot,61879,61882,character_reference,0.7,Lot,you that. But in a few years-five or ten-a whole lot of coloreds will have enough to afford it. A whol,annotator_3,overlap
Beloved (1987),Paul,317774,317778,character_reference,0.85,Paul,. Ever since he showed that newspaper clipping to Paul D and learned that he'd moved out of 124 that ver,annotator_3,unique
Song of Solomon (1977),Esther,424892,424898,thematic_reference,0.9,Esther,"shoulder without taking his eyes off his guest. ""Esther, come here!"" Then to Milk- man: ""I know your peop",annotator_3,overlap
Song of Solomon (1977),Ruth,367058,367062,thematic_reference,0.9,Ruth,"ter of a wealthy prop- erty owner and the elegant Ruth Foster, granddaughter of the magnificent and wors",annotator_3,overlap
Song of Solomon (1977),Solomon,566087,566094,character_reference,0.85,Solomon,"he black lady still crying in the gulch? Was Ryna Solomon's daughter? Maybe she had an illegitimate child,",annotator_3,overlap
Beloved (1987),Paul,302193,302197,character_reference,0.85,Paul,"the words Paul D couldn't. And when he finished, Paul D said with a vigor fresher than the first time,",annotator_3,overlap
Song of Solomon (1977),Pilate,336286,336292,character_reference,0.7,Pilate,"! Who? Hagar? Right up in your face she blows it. Pilate? She loves you, boy. She wouldn't touch you."" ""Yo",annotator_3,overlap
Beloved (1987),Paul,440379,440383,character_reference,0.85,Paul,"make you do what you won't, but think about it."" Paul D said nothing. ""If I did you harm, I'm here to r",annotator_3,overlap
Song of Solomon (1977),Pilate,575521,575527,character_reference,0.7,Pilate,"Reba asked. ""You just got up."" ""Hush, Reba,"" said Pilate. ""Let the child take care of herself."" ""But she's",annotator_3,overlap
Beloved (1987),Paul,245683,245687,character_reference,0.85,Paul,"int in the wind, ""I am not a man."" ""Well, say it, Paul D, whether I like it or not."" Since he could not",annotator_3,unique
Beloved (1987),Paul,89069,89073,character_reference,0.85,Paul,"Bodwin, the whitewoman who loved her. Denver and Paul D fared better in the heat since neither felt the",annotator_3,overlap
Beloved (1987),Jesus,167323,167328,character_reference,0.85,Jesus,"she should do with her sword and shield now, dear Jesus, now nine years after Baby Suggs, holy, proved he",annotator_3,overlap
Song of Solomon (1977),Jericho,609730,609737,character_reference,0.7,Jericho,"umpty-Dumpty, Blue Boy, Scandinavia, Quack-Quack, Jericho, Spoonbread, Ice Man, Dough Belly, Rocky River, G",annotator_3,overlap
Song of Solomon (1977),Pilate,173835,173841,character_reference,0.7,Pilate,backed all the way to the side of the house under Pilate's gaze. Her lips didn't start moving again until,annotator_3,unique
The Bluest Eye (1970),Mary,68268,68272,character_reference,0.85,Mary,"ht her nine lovely orgasms with Mary Jane. Lovely Mary Jane, for whom a candy is named. Three whores liv",annotator_3,overlap
A Mercy (2008),Adam,150325,150329,character_reference,0.85,Adam,The Anabaptists were not confused about any this. Adam (like Jacob) was a good man but (unlike Jacob) he,annotator_3,overlap
Song of Solomon (1977),Ruth,22390,22394,thematic_reference,0.9,Ruth,"dow past the evergreen, the terror that sprang to Ruth's eyes came from the quick realization that she w",annotator_3,overlap
The Bluest Eye (1970),acts,226802,226806,thematic_reference,0.9,Acts,"; to be expected to dredge up enthusiasms for old acts, and routine ploys; he wondered at the arrogance",annotator_3,overlap
Song of Solomon (1977),Ruth,220133,220137,thematic_reference,0.9,Ruth,"middle of the night, especially a woman as old as Ruth. And what man wanted a woman over sixty anyway? F",annotator_3,overlap
Beloved (1987),Paul,500736,500740,character_reference,0.85,Paul,"mory, turns it into dust motes floating in light. Paul D shuts the door. He looks toward the house and,",annotator_3,overlap
Song of Solomon (1977),Saul,499368,499372,character_reference,0.85,Saul,nd when the people were drifting outside to watch Saul scuffling and cursing at the men pulling him away,annotator_3,overlap
Song of Solomon (1977),Magdalene,58795,58804,character_reference,0.85,Magdalene,"tenant. Other than the bright and roving eyes of Magdalene called Lena and First Corinthians, the Packard ha",annotator_3,unique
Song of Solomon (1977),Pilate,429282,429288,character_reference,0.85,Pilate,"nowing it, he had walked right by the place where Pilate's earring had been fashioned, the earring that ha",annotator_3,overlap
Song of Solomon (1977),Magdalene,395135,395144,character_reference,0.85,Magdalene,"another day but for a sobering conversation with Magdalene called Lena, to whom he had not said more than fo",annotator_3,overlap
Song of Solomon (1977),Hagar,53893,53898,character_reference,0.85,Hagar,"singing in the candlelight. Reba's soft profile, Hagar's hands moving, moving in her heavy hair, and Pil",annotator_3,overlap
Song of Solomon (1977),job,456392,456395,thematic_reference,0.9,Job,"deliver his father and Pilate; who had risked her job, her life, maybe, to hide them both after their f",annotator_3,unique
Song of Solomon (1977),Pilate,242572,242578,character_reference,0.7,Pilate,"expectin, you have to eat what the baby craves,"" Pilate said, ""'less it come in the world hongry for what",annotator_3,overlap
A Mercy (2008),Jacob,134827,134832,character_reference,0.85,Jacob,"de. ""What a man leaves behind is what a man is."" ""Jacob, a man is only his reputation."" ""Understand me.""",annotator_3,overlap
Song of Solomon (1977),Solomon,504956,504963,character_reference,0.85,Solomon,"s Luther Solomon-no relation to the grocery store Solomon. They were waiting for some others, who came soon",annotator_3,unique
Jazz (1992),hope,159562,159566,thematic_reference,0.8,Hope,"likelihood that he was still alive grew fainter, hope never did. Anytime anytime, on another brittle co",annotator_3,overlap
The Bluest Eye (1970),Jesus,54044,54049,character_reference,0.85,Jesus,"y into the red-hot stove, she screamed, “Get him, Jesus! Get him!"" If Cholly had stopped drinking, she wo",annotator_3,unique
Paradise (1998),Mary,446969,446973,character_reference,0.85,Mary,re to hide outra- geousness. If Sister Roberta or Mary Magna calls to her or asks for an explanation she,annotator_3,overlap
The Bluest Eye (1970),faith,5015,5020,thematic_reference,0.8,Faith,n his own plot of black dirt. Our inno- cence and faith were no more productive than his lust or despair.,annotator_3,unique
Paradise (1998),Paul,494089,494093,character_reference,0.85,Paul,"What the hell's up there? Bloomington? No, Saint Paul. Are you near Saint Paul, sweet- heart? I'm not n",annotator_3,unique
Tar Baby (1981),Gideon,183824,183830,character_reference,0.7,Gideon,"a bet on how long the chocolate eater could last. Gideon said, ""Long as he wants. Till New Year,"" while sh",annotator_3,overlap
Sula (1973),grace,180037,180042,thematic_reference,0.8,Grace,"rld, aberrations were as much a part of nature as grace. It was not for them to expel or annihilate it. T",annotator_3,overlap
Beloved (1987),Paul,77235,77239,character_reference,0.85,Paul,"o, kneeling in the keeping room the morning after Paul D came, she was distracted by the two orange squa",annotator_3,overlap
Song of Solomon (1977),Ruth,260372,260376,thematic_reference,0.9,Ruth,"s shot."" ""Pilate. You all buried him yourselves."" Ruth spoke as if she were talking to a child. 141 ""Mac",annotator_3,overlap
The Bluest Eye (1970),grace,56690,56695,thematic_reference,0.8,Grace,"Breedlove. Don't."" But Mrs. Breedlove did. By the grace, no doubt, of God, Mrs. Breedlove sneezed. Just o",annotator_3,unique
Jazz (1992),Eden,212306,212310,character_reference,0.7,Eden,"hen like you knew me, and I thought it really was Eden, and I couldn't take your eyes in because I was l",annotator_3,overlap
Tar Baby (1981),Gideon,190927,190933,character_reference,0.85,Gideon,"an old boyfriend and he the one sent her the box, Gideon.” ""Hold on. You going wild."" ""And machete-hair sh",annotator_3,overlap
A Mercy (2008),Jacob,26690,26695,character_reference,0.85,Jacob,"y with this trickery."" ""They come from Portugal?"" Jacob wondered if the serving woman understood English",annotator_3,overlap
Song of Solomon (1977),Solomon,564238,564245,character_reference,0.85,Solomon,"dy all around Come konka yalle, come konka tambee Solomon and Ryna Belali Shalut Yaruba Medina Muhammet too",annotator_3,unique
Sula (1973),Jude,131431,131435,thematic_reference,0.9,Jude,e was a challenge to the other. Nel's response to Jude's shame and anger selected her away from Sula. An,annotator_3,overlap
A Mercy (2008),Jacob,21308,21313,character_reference,0.85,Jacob,"aza, announcing a prideful entrance to a veranda. Jacob stopped. A boy appeared and, dismount- ing a bit",annotator_3,overlap
Song of Solomon (1977),lot,359732,359735,character_reference,0.7,Lot,never set foot in her house. And she hated him a lot for the shame she felt. Hated him sometimes right,annotator_3,overlap
Song of Solomon (1977),Hagar,180351,180356,character_reference,0.85,Hagar,"office, got some cash out of the safe, and wrote Hagar a nice letter which ended: ""Also, I want to thank",annotator_3,overlap
Tar Baby (1981),Jesus,312789,312794,character_reference,0.85,Jesus,"Money is-"" ""Who's that?"" ""Who's who?"" ""Thoreau."" ""Jesus."" ""Don't look disgusted. I'm illiterate."" ""You're",annotator_3,overlap
Song of Solomon (1977),hope,160647,160651,thematic_reference,0.8,Hope,"in't nothin. Whatever he told you, forget it."" ""I hope I can. I sure hope I can."" ""Listen, baby, people",annotator_3,overlap
Song of Solomon (1977),Ruth,61022,61026,thematic_reference,0.9,Ruth,orward and put her hand on her mother's shoulder. Ruth was quiet. The little boy kicked his feet against,annotator_3,overlap
Song of Solomon (1977),Grace,540362,540367,thematic_reference,0.8,Grace,"at school.” ""You know darn well she didn't,"" said Grace. ""She probably started passing like the rest of '",annotator_3,overlap
Beloved (1987),Paul,82829,82833,character_reference,0.85,Paul,interference and on the third day flat-out asked Paul D how long he was going to hang around. The phras,annotator_3,overlap
Paradise (1998),Zechariah,178358,178367,thematic_reference,0.9,Zechariah,"lking man was in sight, but the peace that washed Zechariah's face spread to their own spirits, calming them.",annotator_3,unique
Song of Solomon (1977),Ruth,588138,588142,thematic_reference,0.9,Ruth,"dipped into the safe three separate times before Ruth unclasped her hands and reached for the money. ""T",annotator_3,unique
Song of Solomon (1977),Solomon,564474,564481,character_reference,0.85,Solomon,"omon don't leave me here Buckra's arms to yoke me Solomon done fly, Solomon done gone Solomon cut across th",annotator_3,overlap
Song of Solomon (1977),Pilate,615783,615789,character_reference,0.7,Pilate,"n his face. The cellar door opened over his head. Pilate's feet appeared on the stone steps, and paused. """,annotator_3,unique
Beloved (1987),Paul,104247,104251,character_reference,0.7,Paul,"holera.” ""You sure that's it? Was just a hunch of Paul D's."" ""I don't know, but she shouldn't eat anyway",annotator_3,overlap
Song of Solomon (1977),Mary,362305,362309,character_reference,0.85,Mary,"and now to caress her temples and say in Michael-Mary's read- ing voice, “I don't know,"" embarrassed he",annotator_3,overlap
The Bluest Eye (1970),Jesus,73517,73522,character_reference,0.85,Jesus,"Well, this hippo had a ball back in Chicago. Whoa Jesus, ninety- nine!"" ""How come you always say 'Whoa Je",annotator_3,overlap
Tar Baby (1981),Gideon,538585,538591,character_reference,0.85,Gideon,"t grunts, ""Unh, unh, unh, unh.” ""Stop that!"" said Gideon. ""Fix some food, for Christ's sake!"" Thérèse stoo",annotator_3,unique
Paradise (1998),Zechariah,219026,219035,thematic_reference,0.9,Zechariah,"r. Rector Morgan, also known as Big Daddy. Son of Zechariah Morgan, known throughout Christendom as Big Papa.",annotator_3,unique
Song of Solomon (1977),job,402644,402647,thematic_reference,0.9,Job,"rbidden her to leave the house, made her quit her job, evicted the man, garnisheed his wages, and it is",annotator_3,overlap
A Mercy (2008),Jacob,37327,37332,character_reference,0.85,Jacob,"apparently, for D'Ortega's hand moved to his hip. Jacob's eyes fol- lowed the movement as the ringed fing",annotator_3,overlap
A Mercy (2008),Eve,89802,89805,character_reference,0.7,Eve,"mselves, could shape life that way, like Adam and Eve, like gods from 59 nowhere beholden to nothing ex",annotator_3,unique
Song of Solomon (1977),Pilate,611862,611868,character_reference,0.85,Pilate,"ack, both old. From the beginning, his mother and Pilate had fought for his life, and he had never so much",annotator_3,overlap
Song of Solomon (1977),Hagar,180686,180691,character_reference,0.85,Hagar,"nd the flat-out coldness of ""thank you"" that sent Hagar spin- ning into a bright blue place where the air",annotator_3,unique
Beloved (1987),Paul,512308,512312,character_reference,0.85,Paul,a greengrocer selling vege- tables from a wagon. Paul D pointed to a bunch of turnips. The grocer hande,annotator_3,overlap
A Mercy (2008),Jacob,147552,147557,character_reference,0.85,Jacob,"ertainly not because a girl was mooning over him. Jacob was right, of course. The smithy's value was with",annotator_3,unique
Song of Solomon (1977),hope,527515,527519,thematic_reference,0.8,Hope,"ith the deft motions of a man coring an apple. “I hope I never have to ask myself that question."" Luther",annotator_3,unique
Tar Baby (1981),Gideon,183755,183761,character_reference,0.7,Gideon,oorsill. She was sorry Alma could not come today. Gideon and she had a bet on how long the chocolate eater,annotator_3,overlap
Jazz (1992),job,30921,30924,thematic_reference,0.9,Job,"which I better get to before I lose this no-count job. O Jesus."" She sighed heavily. ""Leave a note, why",annotator_3,overlap
Song of Solomon (1977),Pilate,480818,480824,character_reference,0.85,Pilate,d him-that her father's body was in the cave. Did Pilate tell Circe that they had killed a man in there? P,annotator_3,overlap
Song of Solomon (1977),lot,61934,61937,character_reference,0.7,Lot,"f coloreds will have enough to afford it. A whole lot. Take my word for it."" 35 Magdalene called Lena t",annotator_3,unique
Paradise (1998),lot,412055,412058,character_reference,0.7,Lot,"you're looking for?"" ""Why not? There was a whole lot of life before slavery. And we ought to know what",annotator_3,overlap
Tar Baby (1981),job,412824,412827,thematic_reference,0.9,Job,"n jog in the park. There wasn't a permanent adult job in the whole of the city for him, so he did teena",annotator_3,unique
Sula (1973),John,146000,146004,thematic_reference,0.9,John,"ck?"" ""Mmm. Like a ox."" ""That was one dumb nigger, John L."" ""Maybe. Maybe he was just sanitary."" ""Sanitar",annotator_3,overlap
A Mercy (2008),John,75995,75999,thematic_reference,0.9,John,"rful remedy she knew: devil's bit, mugwort, Saint-John's-wort, maiden- hair and periwinkle; boiled it, s",annotator_3,overlap
Tar Baby (1981),Mary,65358,65362,character_reference,0.85,Mary,"Ondine tried, unsuccessfully, for months to get a Mary who would work inside... With no explicit refusal",annotator_3,unique
Song of Solomon (1977),John,354650,354654,thematic_reference,0.9,John,"was performed by the Choral Speech Society of St. John's High School. None of that, however, had mitigat",annotator_3,overlap
A Mercy (2008),Jacob,132708,132713,character_reference,0.85,Jacob,"could be. As the sons died and the years passed, Jacob became convinced the farm was sustainable but not",annotator_3,overlap
A Mercy (2008),Jacob,35225,35230,character_reference,0.85,Jacob,"er, sly, indirect, instead of straight and manly, Jacob neared the cookhouse and saw a woman standing in",annotator_3,overlap
Song of Solomon (1977),Ruth,183512,183516,thematic_reference,0.9,Ruth,as one of their own. They speculated about Winnie Ruth's motives for this recent murder. Somebody said s,annotator_3,overlap
Song of Solomon (1977),Hagar,164666,164671,character_reference,0.7,Hagar,"it up. Keep up the whole business of ""going with"" Hagar. He seldom took her anywhere except to the movies",annotator_3,overlap
Song of Solomon (1977),Solomon,561802,561809,character_reference,0.85,Solomon,kman's scalp began to tingle. Jay the only son of Solomon? Was that Jake the only son of Solomon? Jake. He,annotator_3,overlap
Song of Solomon (1977),Pilate,306059,306065,character_reference,0.85,Pilate,u all of it. The part I left out was about me and Pilate. I tried to keep you away from her and said she w,annotator_3,overlap
Song of Solomon (1977),Pilate,583891,583897,character_reference,0.7,Pilate,"r purchases from the ground. Finally she stood in Pilate's doorway, limp, wet, and confused, clutching her",annotator_3,overlap
Beloved (1987),Paul,429053,429057,character_reference,0.85,Paul,"her. Before when she knelt on creek pebbles with Paul D, she was nothing, a shape in the dark breathing",annotator_3,unique
Song of Solomon (1977),Hagar,167453,167458,character_reference,0.85,Hagar,"im Hagar had. When he first took her in his arms, Hagar was a vain and somewhat distant creature. He like",annotator_3,unique
Song of Solomon (1977),Pilate,86633,86639,character_reference,0.7,Pilate,"ies, we'd have starved last winter."" ""Would not."" Pilate put a fresh piece of twig in her mouth. ""We would",annotator_3,overlap
Beloved (1987),Paul,293959,293963,character_reference,0.85,Paul,"shake him. Pigs were crying in the chute. All day Paul D, Stamp Paid and twenty more had pushed and prod",annotator_3,overlap
Song of Solomon (1977),Pilate,441890,441896,character_reference,0.85,Pilate,"een. This is where they stayed, he thought, where Pilate cried when given cherry jam. He stood still a mom",annotator_3,overlap
Song of Solomon (1977),Pilate,52012,52018,character_reference,0.7,Pilate,ilate's house. They were singing some melody that Pilate was leading. A phrase that the other two were tak,annotator_3,unique
